City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
chokurdakh,70.6333,147.9167,-12.42,88,48,3.87,RU,1619340037
east london,-33.0153,27.9116,23,46,0,2.06,ZA,1619340037
hermanus,-34.4187,19.2345,23.33,50,100,3.13,ZA,1619340037
svetlogorsk,52.6333,29.7333,6.04,37,26,6,BY,1619340037
ushuaia,-54.8,-68.3,8,71,0,5.14,AR,1619339843
vila franca do campo,37.7167,-25.4333,14,82,40,6.69,PT,1619340038
mys shmidta,,,,,,,,
touros,-5.1989,-35.4608,23,94,40,1.54,BR,1619340038
bathsheba,13.2167,-59.5167,25,65,40,7.72,BB,1619340038
abha,18.2164,42.5053,25,27,40,3.6,SA,1619340038
kapaa,22.0752,-159.319,23,83,75,9.26,US,1619340039
albany,42.6001,-73.9662,11.11,50,90,1.54,US,1619340039
qaanaaq,77.484,-69.3632,-5.6,71,23,3.85,GL,1619340039
avarua,-21.2078,-159.775,22,94,90,8.23,CK,1619340039
northam,51.0333,-4.2167,9.44,68,0,6.26,GB,1619340039
tasiilaq,65.6145,-37.6368,3,75,99,0.51,GL,1619340039
puerto ayora,-0.7393,-90.3518,23.61,91,100,3.16,EC,1619340039
upernavik,72.7868,-56.1549,-4.41,75,4,3.48,GL,1619340040
tessalit,20.1986,1.0114,35.62,8,0,6.59,ML,1619340040
leningradskiy,69.3833,178.4167,-6.55,88,65,1.49,RU,1619340040
talnakh,69.4865,88.3972,-8.64,81,99,4.99,RU,1619339881
namatanai,-3.6667,152.4333,27.16,79,100,2.67,PG,1619340040
ust-tsilma,65.441,52.1498,6.48,86,100,4.03,RU,1619340040
angoche,-16.2325,39.9086,27.31,72,79,3.08,MZ,1619340040
sitka,57.0531,-135.33,7,53,20,2.06,US,1619340041
traverse city,44.7631,-85.6206,2,69,90,5.66,US,1619340041
rikitea,-23.1203,-134.9692,25.69,76,95,5.08,PF,1619340041
hobart,-42.8794,147.3294,14,54,75,7.72,AU,1619339952
ekhabi,53.5102,142.9671,-2.29,73,69,4.36,RU,1619340041
jardim,-21.4803,-56.1381,18.55,98,100,0.99,BR,1619339853
punta arenas,-53.15,-70.9167,6,81,0,4.63,CL,1619339803
bereda,43.2686,-7.5406,16.11,100,99,1.34,ES,1619340042
busselton,-33.65,115.3333,23.89,60,1,0.45,AU,1619340042
tuktoyaktuk,69.4541,-133.0374,-6.98,93,84,5.59,CA,1619340042
belushya guba,,,,,,,,
bud,39.447,-86.1758,7.22,97,13,4.11,US,1619340042
mataura,-46.1927,168.8643,6.11,82,68,1.79,NZ,1619340042
vaini,-21.2,-175.2,23,100,20,2.6,TO,1619340042
faanui,-16.4833,-151.75,26.85,66,87,1,PF,1619340043
itoman,26.1247,127.6694,25,50,40,6.17,JP,1619339839
norman wells,65.282,-126.8329,-2,59,20,3.09,CA,1619340043
ballina,-28.8667,153.5667,18,88,40,2.98,AU,1619340043
leh,34.1667,77.5833,6.77,18,2,0.99,IN,1619340043
yarim,14.298,44.3779,21.32,26,37,2.65,YE,1619340043
mount darwin,-16.7725,31.5838,26.75,42,6,3.28,ZW,1619340043
